	link	location	text	title
0	shop_detail.php?mid=&smc=S&scid=4&sid=177	6IXTY8IGHT is renowned for fun and inspiring fashion and lingerie targeted at females aged between 15-30 years old.	Location: G 17-19	6IXTY8IGHT
1	shop_detail.php?mid=&smc=S&scid=9&sid=5	7-Eleven is here to serve you for the whole day, throughout the whole year.	Location: G  13-14	7-eleven
2	shop_detail.php?mid=&smc=S&scid=9&sid=202	759 Store offers additional choices of Snacks, Groceries, Household and Personal Care Products to customers.	Location: L7 2B	759 Store
3	shop_detail.php?mid=&smc=S&scid=3&sid=13	AEON provides a variety of quality products for daily use.	Location: L1- L2	AEON
4	shop_detail.php?mid=&smc=S&scid=4&sid=189	ALAND has been presenting a variety of Korean fashion cultures to many people as a multi-brand store with new fashion designers.	Location: G 1-2 & 22-24	ALAND
5	shop_detail.php?mid=&smc=S&scid=6&sid=145	Angel Dream offers a wide range of kids fashion.	Location: L9  3	Angel Dream
6	shop_detail.php?mid=&smc=S&scid=5&sid=88	Embracing fitness gear, lifestyle gadgets and everyday nutritions.	Location: L12  22	bc fitness & wellness
7	shop_detail.php?mid=&smc=S&scid=5&sid=42	Originated from the USA, CATALO is the professional of natural food supplements and organic foods.	Location: L7  3	Catalo
8	shop_detail.php?mid=&smc=E&scid=18&sid=96	MegaBox CEO is Hong Kong's largest karaoke outlet that owns a panoramic harbour view. MegaBox CEO is an excellent place for hosting parties, celebrating with friends and singing along.	Location: L17	CEO (Karaoke)
9	shop_detail.php?mid=&smc=S&scid=10&sid=95	Charllenger strives to provide the one-stop professional car detailing services to car owners in Hong Kong.	Location: L15	CHALLENGER Car Detailing & Protection Services
10	shop_detail.php?mid=&smc=S&scid=6&sid=54	CHICKEEDUCK is renowned among parents for its simple and elegant designs for both boys and girls collection.	Location: L9  7-8	Chickeeduck
11	shop_detail.php?mid=&smc=S&scid=6&sid=180	With the brand new concept of combining restaurant, souvenir shop and game machines, Comic Park & Cafe is the ideal place for all families!	Location: L9 23	Comic Park & Cafe
12	shop_detail.php?mid=&smc=S&scid=6&sid=179	Comical Kid’s Land is one of Japanese famous kid’s wears agents company.	Location: L9 20	Comical Kid's Land
13	shop_detail.php?mid=&smc=S&scid=2&sid=191	Location: L6-1	Location: L5 1B	De RUCCI
14	shop_detail.php?mid=&smc=S&scid=2&sid=172	Location: L12  1	DPM® is the results of research and development on mattress and pillow.	DPM
15	shop_detail.php?mid=&smc=S&scid=6&sid=85	Location: L5 6	Hong Kong‘s largest indoor playground with more than 10,000 sq.ft., it’s a place for “Entertainment”, “Education” and “Exchange”!	E CUBE CLUB (Indoor Playground)
16	shop_detail.php?mid=&smc=S&scid=2&sid=209	Location: L12  21	e Lighting Group principally engaged in the sale of quality lighting and designer label furniture products, introduced world-famous brands and other fashionable products into the market.	e Lighting
17	shop_detail.php?mid=&smc=S&scid=6&sid=87	Location: L9  16	The only professional magic toy shop in Hong Kong for you to acquire the curious yet amusing props to conduct the magic tricks.	Eddy's Magic
18	shop_detail.php?mid=&smc=S&scid=6&sid=118	Location: G  21	ERGOBOSS introduces a series of ergonomic furniture & products for children.	ERGOBOSS
19	shop_detail.php?mid=&smc=S&scid=4&sid=1	Location: L9 26	ESPRIT OUTLET offering the full range of collections for women, men and kids.	ESPRIT OUTLET
20	shop_detail.php?mid=&smc=S&scid=6&sid=181	Location: L9 9-10	An one-stop shop for baby and children’s products in Hong Kong, products include exotic kids’ furniture from Europe and America.	Eugene Baby
21	shop_detail.php?mid=&smc=S&scid=6&sid=198	Location: L5 5	The wonderful world of GameArt, provides latest innovative games to MegaBox, share the happiness with both adults and children.	GameArt
22	shop_detail.php?mid=&smc=S&scid=8&sid=174	Location: L8  1	German Pool is one of the most influential players in the Home Electrical Appliances Industry in Hong Kong.	GERMAN POOL
23	shop_detail.php?mid=&smc=S&scid=16&sid=46	Location: L5  7	In the area of over 20,000 sq. ft, it offers a wide range of products from the most international famous sports brands.	GigaSports
24	shop_detail.php?mid=&smc=S&scid=2&sid=33	Location: L18	The first flagship store in Hong Kong with the unique computerized profram allows customers to visualize their mix and match results instantly so as to design the personalized furniture.	Giormani
25	shop_detail.php?mid=&smc=S&scid=5&sid=205	Location: L6 5	Goji Studios is a unique fitness studio taking a holistic approach to health, fitness and wellness.	Goji Studios
26	shop_detail.php?mid=&smc=S&scid=2&sid=203	H&M offers fashion and quality at the best price, including menswear, womenswear and kids wear.	Location: G  7-12	Good Idea Deluxe
27	shop_detail.php?mid=&smc=S&scid=4&sid=4	Established in 2004, Hallmark Babies is growing fast and is a renowned brand of clothing for baby & children aged 0-8.	Location: L9 14	H&M
28	shop_detail.php?mid=&smc=S&scid=6&sid=206	With Hang Seng Bank ATMs, automated self-service banking can be provided.	Location: Lobby, Office Tower 2	Hallmark Babies
29	shop_detail.php?mid=&smc=S&scid=10&sid=160	HKID gallery aims to establish a platform for over 250 creative partners to exhibit their creativity. Most of them are unique handicraft products to fill your life with ingenious designs and creations.	Location: L8  6	HANG SENG BANK ATM
30	shop_detail.php?mid=&smc=S&scid=7&sid=111	HOME 21 is the latest new hybrid of furniture and home accessories chain store, offering products from different corner of the world with contemporary and trendy design.	Location: L6 6	HKID gallery
31	shop_detail.php?mid=&smc=S&scid=2&sid=142	Since developing the first lightweight aluminum blind in 1946, Hunter Douglas has led the industry in creating the highest quality, innovative window coverings for homeowners.	Location: L5 2	HOME 21
32	shop_detail.php?mid=&smc=S&scid=2&sid=190	I Love Kitchen exclusively holds many quality international kitchenware brands from Germany, USA, France, Japan etc.	Location: L3  7	Hunter Douglas Window Fashions Gallery
33	shop_detail.php?mid=&smc=S&scid=2&sid=25	IKEA creates a better life by offering a wide range of home furnishing products at low price.	Location: L3 - L4	I Love Kitchen
34	shop_detail.php?mid=&smc=S&scid=2&sid=20	KIDNETIC offers a positive sports experience as well as the holistic development for kids of all ages.	Location: L7 4	IKEA
35	shop_detail.php?mid=&smc=S&scid=6&sid=185	"KidsMore is a Hong Kong clothing brand. A brand of comfort and soft clothing and aims at ""Dressing up  the childhood""."	Location: L9 15	KIDNETIC
36	shop_detail.php?mid=&smc=S&scid=6&sid=197	KIDSWONDERLAND has a collection of kidswear featuring Mickey Mouse, the Disney's legendary cartoon character.	Location: L9  2	Kids More
37	shop_detail.php?mid=&smc=S&scid=6&sid=50	A quality French children’s fashion brand, offering kidswear with a soul and creative imagination in the service of the product and a range of accessories.	Location: L9  13	KIDSWONDERLAND
38	shop_detail.php?mid=&smc=S&scid=6&sid=58	Location: L7 7	Location: L9  21	la compagnie des petits
39	shop_detail.php?mid=&smc=S&scid=6&sid=108	Location: L10  1	Location: L5 Kiosk	Love 2 by Mary J
40	shop_detail.php?mid=&smc=S&scid=2&sid=210	Location: L9  24	Hong Kong’s 1st international sized ice rink with harbour view.	Magic Living
41	shop_detail.php?mid=&smc=S&scid=2&sid=193	Location: L8 Kiosk 1	Mini Car’s mother company has 45 years of experience manufacturing children’s wear.	maxcare
42	shop_detail.php?mid=&smc=E&scid=19&sid=69	Location: L9  5-6	By sourcing organic and environmental friendly products, Mint Organics strives to make customers look and feel the best on both inside and outside.	Mega Ice (Ice Rink)
43	shop_detail.php?mid=&smc=S&scid=6&sid=153	Location: L8  4	Throughout half a century in UK, mothercare has been providing parents-to-be with a comprehensive range of modern maternity and nursery products in high quality.	Mini Car
44	shop_detail.php?mid=&smc=S&scid=5&sid=157	Location: L3  2-3	NIKKO is established one of the professional outdoor sports brands for its perseverance on quality and innovative ideas.	Mint Organics
45	shop_detail.php?mid=&smc=S&scid=6&sid=53	Location: L9  1	Ranked no.1 healthcare and lifestyle brand in Asia, OSIM is the frontier and advocator of maintaining physical and mental health by living a quality lifestyle.	Mothercare
46	shop_detail.php?mid=&smc=S&scid=16&sid=112	Location: L5  8	Popular is the largest bookstore in East Kowloon with the one-stop shopping concept, offering a wide range of books, stationery, multi-media products, home products and small decorations.	NIKKO
47	shop_detail.php?mid=&smc=S&scid=2&sid=21	Location: L7  2A	Pricerite is the largest home furnishing and accessories store in Hong Kong with an abundant supply of furniture, home essentials and appliances.	OSIM
48	shop_detail.php?mid=&smc=S&scid=7&sid=49	Location: G 3	With professional knowledge, years of experiences and endless enthusiasm on outdoor sports, Protrek brings you the world's leading outdoor sport gears in one place.	Popular
49	shop_detail.php?mid=&smc=S&scid=2&sid=34	Location: G  15-16	PUMA is one of the world’s leading Sports Brands, designing, developing, selling and marketing footwear, apparel and accessories.	Pricerite the HOUSE
50	shop_detail.php?mid=&smc=S&scid=16&sid=40	Location: G 20	Quiksilver designs, produces and distributes clothing and related products for young-minded people and represents a casual lifestyle driven from a boardriding heritage.	Protrek
51	shop_detail.php?mid=&smc=S&scid=16&sid=196	Location: L9  22	As an Apple Premium Reseller, Raakee is authorized to sell all Apple Products together with related accessories.	PUMA
52	shop_detail.php?mid=&smc=S&scid=4&sid=6	Location: L3  8-9	ROOKIE is a kid’s only multi-brand premium retail destination, which carries apparel, footwear and accessories in the brands kids want.	Quiksilver / Roxy
53	shop_detail.php?mid=&smc=S&scid=8&sid=187	Location: L3 4	Sealy is the preferred choice amongst 5 star hotels around the world. That’s why you could also have 5-Star luxury sleeping nights by having a Sealy mattress at home.	RAAKEE
54	shop_detail.php?mid=&smc=S&scid=6&sid=150	Location: L5  1A	Serta is ranked USA #1 mattress brand with the heritage of over 80 years.	ROOKIE
55	shop_detail.php?mid=&smc=S&scid=2&sid=26	Location: L3 5-6	Simmons is dedicated to helping people achieve quality sleep.  Since 1925, Simmons has launched its patented Beautyrest mattress series.	Sealy Gallery
56	shop_detail.php?mid=&smc=S&scid=2&sid=149	Location: L9 18-19	Sinomax created memory foam as the core material to develop a wide range of bedding and pressure-relieving products, advocating the benefits of a relieving sleep for a healthy lifestyle.	SERTA
57	shop_detail.php?mid=&smc=S&scid=2&sid=29	Location: L12  2-20	Stands for babies happiness, cleverness and health Prepare to indulge your little one in the up-coming best spa treatments for babies in town at Spa WaWa.	Simmons
58	shop_detail.php?mid=&smc=S&scid=2&sid=122	Location: L8  2&5	Tom Lee Music opens your access to music with top-class musical instruments, a library of scores, music supplies and music courses.	Sinomax
59	shop_detail.php?mid=&smc=S&scid=6&sid=164	Location: L5 9	Housing the latest and comprehensive collection of toys with the area of 10,000 sq. ft.	SPA WAWA
60	shop_detail.php?mid=&smc=S&scid=7&sid=86	Location: L11  1-7	Trendmall Gallery is a tableware and giftware retailer and offers a wide selection of quality products with trendy design at reasonable prices.	Tom Lee Music
61	shop_detail.php?mid=&smc=S&scid=6&sid=47	Location: L9  4	The only IMAX digital theatre in Greater China with the “IMAX 12-Channel Immersive Sound System”.	"Toys""R""Us"
62	shop_detail.php?mid=&smc=S&scid=2&sid=183	Location: L7  1	ViVi Shop gathers over 100 Capsule Toy machines in a place!	Trendmall Gallery
63	shop_detail.php?mid=&smc=E&scid=20&sid=80	Location: L9 12	Wellcome consistently delivers good value-for-money products, providing a one-stop shopping convenience with high quality and friendly service.	UA MegaBox / IMAX Theatre (Cinema)
